Subset,classification,K_features
"('Income', 'Kidhome', 'Recency', 'MntFruits', 'MntMeatProducts')",0.8435374149659864,5
"('Income', 'Kidhome', 'Recency', 'MntFruits', 'NumWebVisitsMonth')",0.8390022675736961,5
"('Income', 'Kidhome', 'Recency', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8390022675736961,5
"('Income', 'Kidhome', 'MntFruits', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8344671201814059,5
"('Income', 'Recency', 'MntFruits', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8390022675736961,5
"('Kidhome', 'Recency', 'MntFruits', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8367346938775511,5
"('Education', 'Marital_Status', 'Income', 'Kidhome', 'Recency', 'MntFruits')",0.8390022675736961,6
"('Education', 'Marital_Status', 'Income', 'Kidhome', 'Recency', 'MntMeatProducts')",0.8390022675736961,6
"('Education', 'Marital_Status', 'Income', 'Kidhome', 'Recency', 'NumWebVisitsMonth')",0.8367346938775511,6
"('Education', 'Marital_Status', 'Income', 'Kidhome', 'MntFruits', 'MntMeatProducts')",0.8344671201814059,6
"('Education', 'Marital_Status', 'Income', 'Kidhome', 'MntFruits', 'NumWebVisitsMonth')",0.8367346938775511,6
"('Education', 'Marital_Status', 'Income', 'Kidhome', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8367346938775511,6
"('Education', 'Marital_Status', 'Income', 'Recency', 'MntFruits', 'MntMeatProducts')",0.8390022675736961,6
"('Education', 'Marital_Status', 'Income', 'Recency', 'MntFruits', 'NumWebVisitsMonth')",0.8390022675736961,6
"('Education', 'Marital_Status', 'Income', 'Recency', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8390022675736961,6
"('Education', 'Marital_Status', 'Income', 'MntFruits', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8344671201814059,6
"('Education', 'Marital_Status', 'Kidhome', 'Recency', 'MntFruits', 'MntMeatProducts')",0.8367346938775511,6
"('Education', 'Marital_Status', 'Kidhome', 'Recency', 'MntFruits', 'NumWebVisitsMonth')",0.8367346938775511,6
"('Education', 'Marital_Status', 'Kidhome', 'Recency', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8344671201814059,6
"('Education', 'Marital_Status', 'Kidhome', 'MntFruits', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8367346938775511,6
"('Education', 'Marital_Status', 'Recency', 'MntFruits', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8344671201814059,6
"('Education', 'Income', 'Kidhome', 'Recency', 'MntFruits', 'MntMeatProducts')",0.8390022675736961,6
"('Education', 'Income', 'Kidhome', 'Recency', 'MntFruits', 'NumWebVisitsMonth')",0.8390022675736961,6
"('Education', 'Income', 'Kidhome', 'Recency', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8480725623582767,6
"('Education', 'Income', 'Kidhome', 'MntFruits', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8344671201814059,6
"('Education', 'Income', 'Recency', 'MntFruits', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8390022675736961,6
"('Education', 'Kidhome', 'Recency', 'MntFruits', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8344671201814059,6
"('Marital_Status', 'Income', 'Kidhome', 'Recency', 'MntFruits', 'MntMeatProducts')",0.8412698412698413,6
"('Marital_Status', 'Income', 'Kidhome', 'Recency', 'MntFruits', 'NumWebVisitsMonth')",0.8390022675736961,6
"('Marital_Status', 'Income', 'Kidhome', 'Recency', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8390022675736961,6
"('Marital_Status', 'Income', 'Kidhome', 'MntFruits', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8344671201814059,6
"('Marital_Status', 'Income', 'Recency', 'MntFruits', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8435374149659864,6
"('Marital_Status', 'Kidhome', 'Recency', 'MntFruits', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8390022675736961,6
"('Income', 'Kidhome', 'Recency', 'MntFruits', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8435374149659864,6
"('Education', 'Marital_Status', 'Income', 'Kidhome', 'Recency', 'MntFruits', 'MntMeatProducts')",0.8412698412698413,7
"('Education', 'Marital_Status', 'Income', 'Kidhome', 'Recency', 'MntFruits', 'NumWebVisitsMonth')",0.8390022675736961,7
"('Education', 'Marital_Status', 'Income', 'Kidhome', 'Recency', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8390022675736961,7
"('Education', 'Marital_Status', 'Income', 'Kidhome', 'MntFruits', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8367346938775511,7
"('Education', 'Marital_Status', 'Income', 'Recency', 'MntFruits', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8390022675736961,7
"('Education', 'Marital_Status', 'Kidhome', 'Recency', 'MntFruits', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8344671201814059,7
"('Education', 'Income', 'Kidhome', 'Recency', 'MntFruits', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8458049886621315,7
"('Marital_Status', 'Income', 'Kidhome', 'Recency', 'MntFruits', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8435374149659864,7
"('Education', 'Marital_Status', 'Income', 'Kidhome', 'Recency', 'MntFruits', 'MntMeatProducts', 'NumWebVisitsMonth')",0.8412698412698413,8
